mass_1	mass_2	a_1	a_2	tilt_1	tilt_2	phi_jl	phi_12	psi	theta_jn	ra	dec	luminosity_distance	geocent_time	redshift	mass_1_source	mass_2_source	log_likelihood	comoving_distance	comoving_volume	mass_ratio	inverted_mass_ratio	total_mass	chirp_mass	symmetric_mass_ratio	total_mass_source	chirp_mass_source	iota	spin_1x	spin_1y	spin_1z	spin_2x	spin_2y	spin_2z	phi_1	phi_2	chi_p	chi_p_2spin	chi_eff	final_spin_non_evolved	peak_luminosity_non_evolved	final_mass_non_evolved	cos_tilt_1	cos_tilt_2	final_mass_source_non_evolved	radiated_energy_non_evolved	cos_theta_jn	viewing_angle	cos_iota
5.912849900291347183e+01	3.949052654663205431e+01	0.000000000000000000e+00	0.000000000000000000e+00	3.190970584141975541e-01	1.180912329666428118e-01	2.417662932527850916e-01	3.185339287822264165e-01	9.640792451783762873e-01	2.636498042750937687e-01	4.410061220535114179e-01	6.098708094225074872e-01	5.285603768302732988e+02	1.126259462400000095e+09	1.000000000000000056e-01	5.375318091173951274e+01	3.590047867875640719e+01	2.227536581313872555e-01	4.321244883487780726e+02	3.379988668472575545e+08	6.678763576373927258e-01	1.497283125184266206e+00	9.861902554954552613e+01	4.189688415159073998e+01	2.400868452034775058e-01	8.965365959049591993e+01	3.808807650144612467e+01	2.636498042750936022e-01	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	3.141592653589793116e+00	3.141592653589793116e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.640539400379665835e-01	3.371527930867809886e+00	9.420224100251465416e+01	9.495190663154716715e-01	9.930353298351087821e-01	8.563840091137694799e+01	4.015258679118971941e+00	9.654452498526219228e-01	2.636498042750937687e-01	9.654452498526219228e-01
1.431662943689156009e+01	1.010558157438012294e+01	0.000000000000000000e+00	0.000000000000000000e+00	6.712380191408012786e-01	6.110179811110102444e-01	6.013731275422917744e-02	9.777692736076393221e-01	4.389516267467820088e-01	5.325950215229038331e-01	3.132287457829341371e-03	2.512671054913042656e-01	3.979140048131279741e+02	1.126259462400000095e+09	1.000000000000000056e-01	1.301511766990141794e+01	9.186892340345565344e+00	9.922592294876191321e-01	4.321244883487780726e+02	3.379988668472575545e+08	7.058631795232283013e-01	1.416705147696533551e+00	2.442221101127168481e+01	1.043960969131071437e+01	2.425672349436581998e-01	2.220201001024698328e+01	9.490554264827920861e+00	5.325950215229038331e-01	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	3.141592653589793116e+00	3.141592653589793116e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.696849702821187078e-01	3.454579371969441759e+00	2.330693540842541012e+01	7.830522728608317884e-01	8.190644249980475466e-01	2.118812309856855336e+01	1.013886911678429925e+00	8.614922969574227984e-01	5.325950215229038331e-01	8.614922969574227984e-01
5.494944756692527932e+01	3.227557923568252818e+01	0.000000000000000000e+00	0.000000000000000000e+00	8.289891999288847568e-01	2.810522629658763760e-01	8.690915111825114892e-01	9.764165742940587034e-01	8.417136574465668986e-01	4.488736003230437976e-01	3.705084297706885410e-01	4.826694370138500112e-01	3.410797144902657010e+02	1.126259462400000095e+09	1.000000000000000056e-01	4.995404324265933838e+01	2.934143566880229770e+01	3.055007696575119391e-01	4.321244883487780726e+02	3.379988668472575545e+08	5.873685844861811223e-01	1.702508486855457193e+00	8.722502680260780039e+01	3.640610380938395707e+01	2.331069127086326798e-01	7.929547891146162897e+01	3.309645800853086683e+01	4.488736003230437421e-01	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	3.141592653589793116e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.481552523592201132e-01	3.144732284488099161e+00	8.352888392298362419e+01	6.756213162607304090e-01	9.607641074822415028e-01	7.593534902089419347e+01	3.360129890567435496e+00	9.009364760533012939e-01	4.488736003230437976e-01	9.009364760533012939e-01
6.501911397941154291e+01	5.084963005161662863e+01	0.000000000000000000e+00	0.000000000000000000e+00	7.463378032369891724e-01	8.553998778375780931e-01	2.935015581362097059e-01	7.333144993171772930e-01	8.088307025622911706e-01	8.870869741717364310e-01	2.483321126702786596e-02	5.125494476917045183e-01	5.416143928142339519e+02	1.126259462400000095e+09	1.000000000000000056e-01	5.910828543582866956e+01	4.622693641056056890e+01	5.978168873014499951e-03	4.321244883487780726e+02	3.379988668472575545e+08	7.820720237393312679e-01	1.278654611909894045e+00	1.158687440310281715e+02	4.998089709599825170e+01	2.462613442680366138e-01	1.053352218463892314e+02	4.543717917818022300e+01	8.870869741717364310e-01	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	3.141592653589793116e+00	3.141592653589793116e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.780580706143730652e-01	3.580652473139032121e+00	1.104228892032895146e+02	7.341802519695259654e-01	6.559167210951790672e-01	1.003844447302631835e+02	4.950777116126047872e+00	6.316729829381784178e-01	8.870869741717364310e-01	6.316729829381784178e-01
6.327218105514107549e+01	6.321754381826042390e+01	0.000000000000000000e+00	0.000000000000000000e+00	3.264944953806705463e-01	1.983582071830818361e-01	8.292149093742201549e-01	6.371216286308994947e-01	8.544073566273735487e-02	2.201604372873834370e-01	6.811760056464958302e-01	1.344100894286310854e-01	1.083375303642876304e+02	1.126259462400000095e+09	1.000000000000000056e-01	5.752016459558279138e+01	5.747049438023674384e+01	2.342060522066808925e-01	4.321244883487780726e+02	3.379988668472575545e+08	9.991364729969868241e-01	1.000864273326368403e+00	1.264897248734014994e+02	5.505784445621265633e+01	2.499999533547989927e-01	1.149906589758195423e+02	5.005258586928422915e+01	2.201604372873832427e-01	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	3.141592653589793116e+00	3.141592653589793116e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.865206344171719266e-01	3.711131197098757717e+00	1.203703458047852166e+02	9.471724627904432037e-01	9.803914306985268556e-01	1.094275870952592840e+02	5.563071880560258364e+00	9.758624246021416759e-01	2.201604372873834370e-01	9.758624246021416759e-01
4.972901497947391647e+01	2.986118617776747186e+01	0.000000000000000000e+00	0.000000000000000000e+00	4.616133222332173824e-01	8.738239607364897132e-01	3.506094910196108083e-01	8.235205516449387586e-01	9.471990743671517832e-01	6.704070988991805979e-02	2.978400906186231545e-01	6.191610163672529588e-01	5.697679834963657868e+02	1.126259462400000095e+09	1.000000000000000056e-01	4.520819543588537215e+01	2.714653288887951632e+01	2.481547794756681080e-01	4.321244883487780726e+02	3.379988668472575545e+08	6.004781351509362874e-01	1.665339571021415832e+00	7.959020115724138122e+01	3.333175852077036438e+01	2.344216440737885154e-01	7.235472832476489202e+01	3.030159865524578322e+01	6.704070988991883695e-02	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	3.141592653589793116e+00	3.141592653589793116e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.511567807887697068e-01	3.186671373187713652e+00	7.618200699981329649e+01	8.953351003585321433e-01	6.418990759791509682e-01	6.925636999983026953e+01	3.098358324934622487e+00	9.977536131552163789e-01	6.704070988991805979e-02	9.977536131552163789e-01
4.337316097731638820e+01	2.458850761885536684e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.795952691185540351e-01	9.488350155396007013e-01	2.020173512975977914e-01	5.654784146623665908e-01	3.803031304256005996e-01	8.081067272417844505e-01	1.275536679476561019e-01	9.513395513366474932e-01	1.873744259396164580e+02	1.126259462400000095e+09	1.000000000000000056e-01	3.943014634301489707e+01	2.235318874441396630e+01	1.024941347304993977e-01	4.321244883487780726e+02	3.379988668472575545e+08	5.669060558374992009e-01	1.763960694550500641e+00	6.796166859617176215e+01	2.820454772976081870e+01	2.309006620696446577e-01	6.178333508742886693e+01	2.564049793614619688e+01	8.081067272417843395e-01	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	3.141592653589793116e+00	3.141592653589793116e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.431101955586845387e-01	3.075166050795608008e+00	6.513227733266801067e+01	9.611672092591087013e-01	5.826303109456215656e-01	5.921116121151636946e+01	2.572173875912497465e+00	6.908684695619886629e-01	8.081067272417844505e-01	6.908684695619886629e-01
4.160403092581554318e+01	2.372467178527359621e+01	0.000000000000000000e+00	0.000000000000000000e+00	6.690315985377016661e-01	5.915547336476866258e-01	8.790005515634675692e-01	5.376576529462346876e-01	9.782239766028444361e-02	1.412958234884379438e-01	9.622800892721934396e-01	7.981039042202182632e-01	1.406362627110028427e+02	1.126259462400000095e+09	1.000000000000000056e-01	3.782184629619594318e+01	2.156788344115781442e+01	5.886323190849075404e-01	4.321244883487780726e+02	3.379988668472575545e+08	5.702493546256908186e-01	1.753618819360866388e+00	6.532870271108913585e+01	2.713817053843150973e+01	2.312743959254455195e-01	5.938972973735375405e+01	2.467106412584682573e+01	1.412958234884378328e-01	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	3.141592653589793116e+00	3.141592653589793116e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.439655685341433289e-01	3.086878925306334231e+00	6.260075178545478991e+01	7.844226619902729958e-01	8.300746819727182757e-01	5.690977435041344279e+01	2.479955386940311257e+00	9.900343416529429064e-01	1.412958234884379438e-01	9.900343416529429064e-01
4.560595905103056680e+01	3.022802244880252687e+01	0.000000000000000000e+00	0.000000000000000000e+00	3.190525603462712745e-02	2.381556001205146211e-01	5.154296535544239388e-01	6.023578195926511114e-01	2.829595316807853589e-01	8.431300031796803429e-01	8.947055744396656962e-01	7.231912274435534638e-01	2.332921812787145086e+02	1.126259462400000095e+09	1.000000000000000056e-01	4.145996277366414517e+01	2.748002040800229651e+01	5.311501483237561771e-01	4.321244883487780726e+02	3.379988668472575545e+08	6.628086126854393356e-01	1.508731149325887699e+00	7.583398149983310077e+01	3.218740953486469891e+01	2.397196376039923416e-01	6.893998318166644879e+01	2.926128139533154382e+01	8.431300031796803429e-01	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	3.141592653589793116e+00	3.141592653589793116e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.632195718731100920e-01	3.359342086846653697e+00	7.244745730829873764e+01	9.994910704927492118e-01	9.717747411454012996e-01	6.586132482572611480e+01	3.078658355940333990e+00	6.651288247764888251e-01	8.431300031796803429e-01	6.651288247764888251e-01
3.058611294176936823e+01	2.915914916980478466e+01	0.000000000000000000e+00	0.000000000000000000e+00	3.229556341470832814e-01	1.913157056614079865e-01	4.968664343329384225e-01	3.144053207478292311e-01	3.030465846818108933e-02	9.262352470986678910e-02	5.890203488734042647e-01	6.340383820561487083e-01	4.434685796459089033e+02	1.126259462400000095e+09	1.000000000000000056e-01	2.780555721979033379e+01	2.650831742709525685e+01	1.209365536809415831e-01	4.321244883487780726e+02	3.379988668472575545e+08	9.533460242338974711e-01	1.048937085360578614e+00	5.974526211157414934e+01	2.599673379995479294e+01	2.498573870505935435e-01	5.431387464688558708e+01	2.363339436359526502e+01	9.262352470986659481e-02	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	3.141592653589793116e+00	3.141592653589793116e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.861980684706914246e-01	3.706102617857166770e+00	5.685804966394898941e+01	9.483015296183744391e-01	9.817549025071288238e-01	5.168913605813543910e+01	2.624738588750147983e+00	9.957135071772265089e-01	9.262352470986678910e-02	9.957135071772265089e-01
