mass_1 mass_2 a_1 a_2 tilt_1 tilt_2 phi_jl phi_12 psi theta_jn ra dec luminosity_distance geocent_time redshift mass_1_source mass_2_source log_likelihood
5.912849900291347183e+01 3.949052654663205431e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.190970584141975541e-01 1.180912329666428118e-01 2.417662932527850916e-01 3.185339287822264165e-01 9.640792451783762873e-01 2.636498042750937687e-01 4.410061220535114179e-01 6.098708094225074872e-01 5.285603768302732988e+02 1.126259462400000095e+09 1.000000000000000056e-01 5.375318091173951274e+01 3.590047867875640719e+01 2.227536581313872555e-01
1.431662943689156009e+01 1.010558157438012294e+01 0.000000000000000000e+00 0.000000000000000000e+00 6.712380191408012786e-01 6.110179811110102444e-01 6.013731275422917744e-02 9.777692736076393221e-01 4.389516267467820088e-01 5.325950215229038331e-01 3.132287457829341371e-03 2.512671054913042656e-01 3.979140048131279741e+02 1.126259462400000095e+09 1.000000000000000056e-01 1.301511766990141794e+01 9.186892340345565344e+00 9.922592294876191321e-01
5.494944756692527932e+01 3.227557923568252818e+01 0.000000000000000000e+00 0.000000000000000000e+00 8.289891999288847568e-01 2.810522629658763760e-01 8.690915111825114892e-01 9.764165742940587034e-01 8.417136574465668986e-01 4.488736003230437976e-01 3.705084297706885410e-01 4.826694370138500112e-01 3.410797144902657010e+02 1.126259462400000095e+09 1.000000000000000056e-01 4.995404324265933838e+01 2.934143566880229770e+01 3.055007696575119391e-01
6.501911397941154291e+01 5.084963005161662863e+01 0.000000000000000000e+00 0.000000000000000000e+00 7.463378032369891724e-01 8.553998778375780931e-01 2.935015581362097059e-01 7.333144993171772930e-01 8.088307025622911706e-01 8.870869741717364310e-01 2.483321126702786596e-02 5.125494476917045183e-01 5.416143928142339519e+02 1.126259462400000095e+09 1.000000000000000056e-01 5.910828543582866956e+01 4.622693641056056890e+01 5.978168873014499951e-03
6.327218105514107549e+01 6.321754381826042390e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.264944953806705463e-01 1.983582071830818361e-01 8.292149093742201549e-01 6.371216286308994947e-01 8.544073566273735487e-02 2.201604372873834370e-01 6.811760056464958302e-01 1.344100894286310854e-01 1.083375303642876304e+02 1.126259462400000095e+09 1.000000000000000056e-01 5.752016459558279138e+01 5.747049438023674384e+01 2.342060522066808925e-01
4.972901497947391647e+01 2.986118617776747186e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.616133222332173824e-01 8.738239607364897132e-01 3.506094910196108083e-01 8.235205516449387586e-01 9.471990743671517832e-01 6.704070988991805979e-02 2.978400906186231545e-01 6.191610163672529588e-01 5.697679834963657868e+02 1.126259462400000095e+09 1.000000000000000056e-01 4.520819543588537215e+01 2.714653288887951632e+01 2.481547794756681080e-01
4.337316097731638820e+01 2.458850761885536684e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.795952691185540351e-01 9.488350155396007013e-01 2.020173512975977914e-01 5.654784146623665908e-01 3.803031304256005996e-01 8.081067272417844505e-01 1.275536679476561019e-01 9.513395513366474932e-01 1.873744259396164580e+02 1.126259462400000095e+09 1.000000000000000056e-01 3.943014634301489707e+01 2.235318874441396630e+01 1.024941347304993977e-01
4.160403092581554318e+01 2.372467178527359621e+01 0.000000000000000000e+00 0.000000000000000000e+00 6.690315985377016661e-01 5.915547336476866258e-01 8.790005515634675692e-01 5.376576529462346876e-01 9.782239766028444361e-02 1.412958234884379438e-01 9.622800892721934396e-01 7.981039042202182632e-01 1.406362627110028427e+02 1.126259462400000095e+09 1.000000000000000056e-01 3.782184629619594318e+01 2.156788344115781442e+01 5.886323190849075404e-01
4.560595905103056680e+01 3.022802244880252687e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.190525603462712745e-02 2.381556001205146211e-01 5.154296535544239388e-01 6.023578195926511114e-01 2.829595316807853589e-01 8.431300031796803429e-01 8.947055744396656962e-01 7.231912274435534638e-01 2.332921812787145086e+02 1.126259462400000095e+09 1.000000000000000056e-01 4.145996277366414517e+01 2.748002040800229651e+01 5.311501483237561771e-01
3.058611294176936823e+01 2.915914916980478466e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.229556341470832814e-01 1.913157056614079865e-01 4.968664343329384225e-01 3.144053207478292311e-01 3.030465846818108933e-02 9.262352470986678910e-02 5.890203488734042647e-01 6.340383820561487083e-01 4.434685796459089033e+02 1.126259462400000095e+09 1.000000000000000056e-01 2.780555721979033379e+01 2.650831742709525685e+01 1.209365536809415831e-01
